X,Y,Z,Xr,Yr,Zr,DateTime,ID
-725,-130,283,15288,4740,-4124,2019-11-02 16:51:47.162622,jimmy
-713,-105,307,15396,4768,-3896,2019-11-02 16:51:47.199892,jimmy
-717,-118,316,15428,4824,-4124,2019-11-02 16:51:47.240136,jimmy
-741,-127,289,15520,4808,-3900,2019-11-02 16:51:47.279542,jimmy
-750,-100,318,15236,4716,-3964,2019-11-02 16:51:47.308779,jimmy
-768,-116,291,15292,4828,-4044,2019-11-02 16:51:47.335286,jimmy
-728,-126,272,15356,4944,-4012,2019-11-02 16:51:47.362054,jimmy
-722,-137,321,15208,4636,-4056,2019-11-02 16:51:47.386250,jimmy
-725,-124,286,15360,5112,-4068,2019-11-02 16:51:47.410331,jimmy
-744,-132,286,15344,4692,-3936,2019-11-02 16:51:47.434245,jimmy
-734,-77,281,15388,4820,-4004,2019-11-02 16:51:47.457810,jimmy
-777,-144,295,15392,4792,-4196,2019-11-02 16:51:47.481385,jimmy
-740,-123,325,15312,4800,-4112,2019-11-02 16:51:47.505617,jimmy
-745,-115,301,15244,5072,-4064,2019-11-02 16:51:47.529557,jimmy
-710,-114,295,15444,4808,-4196,2019-11-02 16:51:47.553374,jimmy
-731,-120,302,15368,4844,-4004,2019-11-02 16:51:47.577099,jimmy
-732,-115,297,15416,4620,-3968,2019-11-02 16:51:47.600705,jimmy
-723,-114,301,15380,4860,-4020,2019-11-02 16:51:47.624417,jimmy
-742,-121,290,15596,4856,-3928,2019-11-02 16:51:47.648078,jimmy
-732,-129,276,15316,4848,-3944,2019-11-02 16:51:47.672176,jimmy
-724,-140,296,15328,4872,-4048,2019-11-02 16:51:47.695912,jimmy
-745,-128,283,15340,4948,-4064,2019-11-02 16:51:47.719775,jimmy
-731,-130,299,15320,4752,-3912,2019-11-02 16:51:47.743466,jimmy
-720,-126,308,15384,4960,-4248,2019-11-02 16:51:47.767284,jimmy
-762,-130,261,15508,5044,-4084,2019-11-02 16:51:47.793658,jimmy
-764,-114,302,15596,4988,-4084,2019-11-02 16:51:47.819530,jimmy
-515,-90,263,15360,4672,-4008,2019-11-02 16:51:47.846526,jimmy
-727,-105,302,15572,4740,-4008,2019-11-02 16:51:47.870616,jimmy
-754,-169,304,15192,4980,-4088,2019-11-02 16:51:47.894735,jimmy
-771,-28,357,15596,4876,-4104,2019-11-02 16:51:47.920010,jimmy
-738,-216,214,15548,5232,-4108,2019-11-02 16:51:47.945249,jimmy
-1015,-241,249,15236,4904,-4076,2019-11-02 16:51:47.969109,jimmy
-746,-118,291,15180,4836,-4036,2019-11-02 16:51:47.993450,jimmy
-703,-149,348,15652,4852,-4020,2019-11-02 16:51:48.019311,jimmy
-661,-238,284,15032,4388,-4172,2019-11-02 16:51:48.043688,jimmy
-707,-124,334,15188,4740,-3904,2019-11-02 16:51:48.067414,jimmy
-742,-206,344,15328,5252,-4172,2019-11-02 16:51:48.091095,jimmy
-737,-158,205,15268,4840,-4140,2019-11-02 16:51:48.115686,jimmy
-700,-139,333,15336,4896,-4076,2019-11-02 16:51:48.139511,jimmy
-697,-155,278,15344,4728,-4240,2019-11-02 16:51:48.163034,jimmy
-731,-141,256,15476,4848,-4192,2019-11-02 16:51:48.186717,jimmy
-698,-123,338,15296,4712,-4148,2019-11-02 16:51:48.210372,jimmy
-723,-158,311,15444,4944,-4112,2019-11-02 16:51:48.234053,jimmy
-720,-90,312,15212,4744,-3900,2019-11-02 16:51:48.257707,jimmy
-729,-68,288,15368,4768,-3976,2019-11-02 16:51:48.281518,jimmy
-739,-130,261,15116,4672,-4180,2019-11-02 16:51:48.305134,jimmy
-709,-74,295,15456,4576,-4000,2019-11-02 16:51:48.329148,jimmy
-743,-147,281,15372,4720,-3972,2019-11-02 16:51:48.354423,jimmy
-742,-73,295,15252,4788,-3856,2019-11-02 16:51:48.382322,jimmy
-704,-91,366,15464,4748,-4028,2019-11-02 16:51:48.409531,jimmy
-686,-111,322,15252,4800,-4292,2019-11-02 16:51:48.433732,jimmy
-703,-142,270,15056,4800,-4148,2019-11-02 16:51:48.457809,jimmy
-1019,-120,20,15328,4820,-4112,2019-11-02 16:51:48.481863,jimmy
-705,-144,262,15296,4856,-4080,2019-11-02 16:51:48.505842,jimmy
-710,-157,294,15264,4676,-4192,2019-11-02 16:51:48.529788,jimmy
-726,-168,268,15300,4756,-3960,2019-11-02 16:51:48.554075,jimmy
-772,-85,314,15524,4952,-4072,2019-11-02 16:51:48.579900,jimmy
-713,-130,282,15208,4628,-4056,2019-11-02 16:51:48.605068,jimmy
-764,-146,236,15200,4620,-3976,2019-11-02 16:51:48.635363,jimmy
-724,-148,288,15308,4704,-3956,2019-11-02 16:51:48.663413,jimmy
-737,-133,282,15444,4760,-3936,2019-11-02 16:51:48.689554,jimmy
-712,-115,336,15312,4824,-4328,2019-11-02 16:51:48.714130,jimmy
-733,-149,309,15288,4864,-4108,2019-11-02 16:51:48.738459,jimmy
-749,-131,271,15316,4828,-4056,2019-11-02 16:51:48.762505,jimmy
-750,-108,314,15272,4776,-4028,2019-11-02 16:51:48.786385,jimmy
